"","unique_event_ID","same_whale_ID","ship","count","count_factor","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","ship_speed_scaled","grid_ID","ship_whale_dist_round","det_idx","det_prob","adjusted_count","adjusted_count_sum","count_sum"
"3468","2013-08-09-N-023","2013-08-09-N-023","Zaandam",3,"2-3",17.9240534,1258.394519,"DF-Dive-fluke-up","good","calm",437508.7568,6492782.897,0.991389102814,9972,1260,"3_good_1260",0.78965565885417,3.79912429723248,173.326112528089,17
"3469","2013-08-09-N-029","2013-08-09-N-029","Zaandam",2,"2-3",13.43871855,3984.846221,"BL-Blowing","good","calm",437375.4504,6482369.141,-0.355925677928,9671,3980,"2_good_3980",0.11165992419516,17.9115292654541,619.368799923408,19
"3470","2013-08-10-N-035","2013-08-10-N-035","Island Princess",2,"2-3",18.9279852,2484.826218,"BL-Blowing","good","calm",437276.7806,6496889.597,1.29295235243,10101,2480,"2_good_2480",0.289503875900814,6.90837037596419,132.418449655484,24
"3471","2013-08-10-N-042","2013-08-10-N-042","Island Princess",2,"2-3",10.02229438,1496.731302,"DF-Dive-fluke-up","good","calm",436691.0186,6488047.934,-1.38215870968,9838,1500,"2_good_1500",0.651717019093959,3.06881658972244,211.935468839743,14
"3472","2013-08-11-S-006","2013-08-11-S-006","Volendam",2,"2-3",13.12832947,1797.758779,"DF-Dive-fluke-up","good","calm",436721.8073,6487707.566,-0.449161034763,9838,1800,"2_good_1800",0.503885734514882,3.96915384382832,211.935468839743,14
"3473","2013-08-11-S-009","2013-08-11-S-009","Volendam",3,"2-3",18.45768415,1994.476535,"BL-Blowing","good","calm",436477.1577,6501267.694,1.15168228515,10266,1990,"3_good_1990",0.428663331587166,6.99849923923331,62.0448375284026,8
"3474","2013-08-12-N-008","2013-08-12-N-008","Grand Princess",2,"2-3",19.18657751,4466.872176,"DF-Dive-fluke-up","good","calm",426518.8868,6510256.599,1.37062888119,10582,4470,"2_good_4470",0.0872318429331901,22.9274073864492,91.2505819568264,7
"3475","2013-08-15-N-026","2013-08-15-N-026","Norwegian Pearl",2,"2-3",17.97849138,4987.774196,"LF-Lunge-feed","good","calm",430986.4292,6504725.668,1.00774130338,10400,4990,"2_good_4990",0.068839222324394,29.0532044446306,138.271631057948,12
"3476","2013-08-15-N-034","2013-08-15-N-034","Norwegian Pearl",2,"2-3",18.83796291,3988.259517,"BL-Blowing","good","calm",436215.3845,6497787.985,1.2659112583,10147,3990,"2_good_3990",0.111069853039273,18.0066862904088,56.9345891216999,12
"3477","2013-08-15-N-041","2013-08-15-N-041","Norwegian Pearl",3,"2-3",18.83554564,1260.202778,"BL-Blowing","good","calm",437101.1965,6496652.219,1.2651851534,10101,1260,"3_good_1260",0.78965565885417,3.79912429723248,132.418449655484,24
"3478","2013-08-16-N-002","2013-08-16-N-002","Statendam",2,"2-3",17.24482551,4985.993852,"BL-Blowing","good","calm",434918.584,6498990.469,0.787361130256,10194,4990,"2_good_4990",0.068839222324394,29.0532044446306,266.910267442287,15
"3479","2013-08-20-N-002","2013-08-20-N-002","Statendam",2,"2-3",16.86406803,1994.307595,"RE-Resting","good","calm",434402.8352,6498432.148,0.672988358136,10169,1990,"2_good_1990",0.428663331587166,4.66566615948887,26.1323714058356,3
"3480","2013-08-20-N-023","2013-08-20-N-023","Statendam",2,"2-3",12.56884991,1494.472491,"DF-Dive-fluke-up","good","calm",424744.6,6510651.62,-0.617218739688,10607,1490,"2_good_1490",0.657221524826468,3.04311396454655,64.4666199234555,11
